,0
0,D0005-LTG10
1,D0005-LTG11
2,D0005-LTG12
3,D0005-LTG13
4,D0005-LTG14
5,D0005-LTG15
6,D0005-LTG16
7,D0005-LTG19
8,D0005-LTG20
9,D0005-LTG21
10,D0005-LTG22
11,D0005-LTG23
12,D0005-LTG24
13,D0005-LTG26
14,D0005-LTG27
15,D0005-LTG28
16,D0005-LTG29
17,D0005-LTG2
18,D0005-LTG30
19,D0005-LTG31
20,D0005-LTG32
21,D0005-LTG3
22,D0005-LTG4
23,D0005-LTG5
24,D0005-LTG6
25,D0005-LTG7
26,D0005-LTG8
27,D0005-MST1
28,D0005-MST2
29,D0005-MST3
30,D0005-MST4
31,D0005-PST1
32,D0005-PST2
33,D0005-PST3
34,D0005-PST4
35,D0007-RAIH1
36,D0007-RAIH2
37,D0007-RAIH3
38,D0007-RAIH4
39,D0007-RAMF1
40,D0007-RAMF2
41,D0007-RAMF3
42,D0007-RAMF4
43,D0007-RAMF5
44,D0007-RAMF6
45,D0007-RASF1
46,D0007-RASF2
47,D0007-RASF3
48,D0007-RASF4
49,D0007-RASF5
50,D0007-RASF6
51,D0007-RFG1
52,D0007-RFG2
53,D0007-RFG3
54,D0007-RFG4
55,D0007-RFG5
56,D0007-RFG6
57,D0007-RFG7
58,D0007-RFG8
59,D0007-RFG9
60,D0007-RFG10
61,D0007-RFG11
62,D0007-RFG12
63,D0007-RFG13
64,D0007-RFG14
65,D0007-RFG15
66,D0007-RFG16
67,D0007-RFG17
68,D0007-RFG18
69,D0007-RFG19
70,D0007-RFG20
71,D0007-RFG21
72,D0007-RFG22
73,D0007-RFG23
74,D0007-RFG24
75,D0007-RFG25
76,D0007-RFG26
77,D0007-RFG27
78,D0007-RFG28
79,D0007-RFG29
80,D0007-RFG31
81,D0007-RFG32
82,D0007-RFG33
83,D0007-RFG34
84,D0007-RFG35
85,D0007-RFG36
86,D0007-RFG37
87,D0007-RFG40
88,D0007-RFG41
89,D0007-RFG42
90,D0007-RFG43
91,D0007-RFG44
92,D0007-RFG45
93,D0007-RFG46
94,D0007-RFG47
95,D0007-RFG48
96,D0007-RFG49
97,D0007-RFG50
98,D0007-RFG51
99,D0007-RFG52
100,D0007-RFG53
101,D0007-RFG54
102,D0007-RFG55
103,D0007-RFG56
104,D0007-RFG57
105,D0007-RFG58
106,D0007-RFG59
107,D0007-RFG60
108,D0007-RFG61
109,D0007-RFG62
110,D0007-RFG63
